Time Elapsed,dt,Color Value,,,,,(m) from center line,0.5
0.259505958,0.005323875,74,0,0,73.86797891,0.846394042,0.018620669,-0.37
0.266025375,0.006519417,74,0.015,1,73.30485489,0.839874625,0.018477242,47
0.273454,0.007428625,73,0.03,2,72.6495268,0.832446,0.018313812,47
0.278576375,0.005122375,73,0.045,3,72.18918776,0.827323625,0.01820112,
0.284931,0.006354625,73,0.06,4,71.60854735,0.820969,0.018061318,
0.290528292,0.005597292,72,0.075,5,71.08837682,0.815371708,0.017938178,
0.297118208,0.006589916,72,0.09,6,70.46554475,0.808781792,0.017793199,
0.304334458,0.00721625,71,0.105,7,69.7707013,0.801565542,0.017634442,
0.309832708,0.00549825,71,0.12,8,69.23237618,0.796067292,0.01751348,
0.316070958,0.00623825,70,0.135,9,68.61237456,0.789829042,0.017376239,
0.323453875,0.007382917,69,0.15,10,67.86610102,0.782446125,0.017213815,
0.328651667,0.005197792,68,0.165,11,67.3326866,0.777248333,0.017099463,
0.334934625,0.006282958,68,0.18,12,66.67921021,0.770965375,0.016961238,
0.3409025,0.005967875,67,0.195,13,66.04983611,0.7649975,0.016829945,
0.347223125,0.006320625,66,0.21,14,65.37423324,0.758676875,0.016690891,
0.353936792,0.006713667,65,0.225,15,64.64667518,0.751963208,0.016543191,
0.358644417,0.004707625,65,0.24,16,64.13054189,0.747255583,0.016439623,
0.365268708,0.006624291,64,0.255,17,63.39614872,0.740631292,0.016293888,
0.371494,0.006225292,63,0.27,18,62.69757139,0.734406,0.016156932,
0.377493958,0.005999958,62,0.285,19,62.01680571,0.728406042,0.016024933,
0.38437625,0.006882292,61,0.3,20,61.22721304,0.72152375,0.015873522,
0.389459875,0.005083625,61,0.315,21,60.6382143,0.716440125,0.015761683,
0.395612833,0.006152958,59,0.33,22,59.91902935,0.710287167,0.015626318,
0.401224375,0.005611542,59,0.345,23,59.25736124,0.704675625,0.015502864,
0.408030833,0.006806458,58,0.36,24,58.44776957,0.697869167,0.015353122,
0.41433575,0.006304917,57,0.375,25,57.69132228,0.69156425,0.015214414,
0.4198645,0.00552875,57,0.39,26,57.02314059,0.6860355,0.015092781,
0.427305583,0.007441083,56,0.405,27,56.1171461,0.678594417,0.014929077,
0.434291208,0.006985625,55,0.42,28,55.2601366,0.671608792,0.014775393,
0.440263208,0.005972,54,0.435,29,54.52293523,0.665636792,0.014644009,
0.446977667,0.006714459,53,0.45,30,53.68953994,0.658922333,0.014496291,
0.453266375,0.006288708,52,0.465,31,52.90506468,0.652633625,0.01435794,
0.458391042,0.005124667,51,0.48,32,52.26329351,0.647508958,0.014245197,
0.464910083,0.006519041,51,0.495,33,51.44405229,0.640989917,0.014101778,
0.470363875,0.005453792,50,0.51,34,50.75655872,0.635536125,0.013981795,
0.477257625,0.00689375,49,0.525,35,49.88526364,0.628642375,0.013830132,
0.483394292,0.006136667,48,0.54,36,49.1079586,0.622505708,0.013695126,
0.489337,0.005942708,47,0.555,37,48.35411433,0.616563,0.013564386,
0.495501375,0.006164375,47,0.57,38,47.5714188,0.610398625,0.01342877,
0.501298792,0.005797417,46,0.585,39,46.83501899,0.604601208,0.013301227,
0.507386125,0.006087333,45,0.6,40,46.06188711,0.598513875,0.013167305,
0.514089375,0.00670325,44,0.615,41,45.21113314,0.591810625,0.013019834,
0.518633083,0.004543708,44,0.63,42,44.63509374,0.587266917,0.012919872,
0.526141417,0.007508334,42,0.645,43,43.68484784,0.579758583,0.012754689,
0.531564875,0.005423458,42,0.66,44,43.00010664,0.574335125,0.012635373,
0.538305208,0.006740333,41,0.675,45,42.15151291,0.567594792,0.012487085,
0.544456125,0.006150917,41,0.69,46,41.37988939,0.561443875,0.012351765,
0.550315417,0.005859292,40,0.705,47,40.64769094,0.555584583,0.012222861,
0.556476458,0.006161041,39,0.72,48,39.88116427,0.549423542,0.012087318,
0.563388917,0.006912459,38,0.735,49,39.02575946,0.542511083,0.011935244,
0.568393375,0.005004458,37,0.75,50,38.40980846,0.537506625,0.011825146,
0.575865708,0.007472333,37,0.765,51,37.49582562,0.530034292,0.011660754,
0.581282292,0.005416584,36,0.78,52,36.83790323,0.524617708,0.01154159,
0.587134833,0.005852541,36,0.795,53,36.13170101,0.518765167,0.011412834,
0.593421833,0.006287,35,0.81,54,35.37881664,0.512478167,0.01127452,
0.598318667,0.004896834,35,0.825,55,34.79675424,0.507581333,0.011166789,
0.60467675,0.006358083,34,0.84,56,34.04697239,0.50122325,0.011026912,
0.610471458,0.005794708,33,0.855,57,33.36977424,0.495428542,0.010899428,
0.617351833,0.006880375,32,0.87,58,32.57367095,0.488548167,0.01074806,
0.624025292,0.006673459,31,0.885,59,31.81013733,0.481874708,0.010601244,
0.630297875,0.006272583,31,0.9,60,31.10053081,0.475602125,0.010463247,
0.636342667,0.006044792,30,0.915,61,30.42434736,0.469557333,0.010330261,
0.644075625,0.007732958,29,0.93,62,29.57064589,0.461824375,0.010160136,
0.648625917,0.004550292,29,0.945,63,29.07441209,0.457274083,0.01006003,
0.655539583,0.006913666,28,0.96,64,28.32933468,0.450360417,0.009907929,
0.660619083,0.0050795,28,0.975,65,27.78890397,0.445280917,0.00979618,
0.667300167,0.006681084,27,0.99,66,27.08727251,0.438599833,0.009649196,
0.673435125,0.006134958,26,1.005,67,26.45237113,0.432464875,0.009514227,
0.679892208,0.006457083,26,1.02,68,25.79400594,0.426007792,0.009372171,
0.686297667,0.006405459,25,1.035,69,25.15106682,0.419602333,0.009231251,
0.69151525,0.005217583,24,1.05,70,24.63493917,0.41438475,0.009116464,
0.698204958,0.006689708,24,1.065,71,23.98326211,0.407695042,0.008969291,
0.704681375,0.006476417,23,1.08,72,23.3632581,0.401218625,0.00882681,
0.709977917,0.005296542,23,1.095,73,22.86424482,0.395922083,0.008710286,
0.716200417,0.0062225,22,1.11,74,22.28729909,0.389699583,0.008573391,
0.721404167,0.00520375,22,1.125,75,21.81257403,0.384495833,0.008458908,
0.728537875,0.007133708,21,1.14,76,21.17332998,0.377362125,0.008301967,
0.735037417,0.006499542,21,1.155,77,20.6025792,0.370862583,0.008158977,
0.741012708,0.005975291,20,1.17,78,20.08770274,0.364887292,0.00802752,
0.746927833,0.005915125,19,1.185,79,19.58730288,0.358972167,0.007897388,
0.754442458,0.007514625,19,1.2,80,18.96492216,0.351457542,0.007732066,
0.759500708,0.00505825,19,1.215,81,18.55437587,0.346399292,0.007620784,
0.766211458,0.00671075,18,1.23,82,18.02010256,0.339688542,0.007473148,
0.77150175,0.005290292,18,1.245,83,17.60725029,0.33439825,0.007356762,
0.77895675,0.007455,17,1.26,84,17.03787899,0.32694325,0.007192751,
0.784940333,0.005983583,17,1.275,85,16.59133688,0.320959667,0.007061113,
0.790492208,0.005551875,16,1.29,86,16.18528372,0.315407792,0.006938971,
0.796930375,0.006438167,16,1.305,87,15.72431138,0.308969625,0.006797332,
0.803382,0.006451625,16,1.32,88,15.27296041,0.302518,0.006655396,
0.808674542,0.005292542,15,1.335,89,14.91054293,0.297225458,0.00653896,
0.814921625,0.006247083,15,1.35,90,14.49177714,0.290978375,0.006401524,
0.820466833,0.005545208,14,1.365,91,14.12816276,0.285433167,0.00627953,
0.827492833,0.007026,14,1.38,92,13.6782726,0.278407167,0.006124958,
0.83413725,0.006644417,14,1.395,93,13.26381404,0.27176275,0.005978781,
0.841016833,0.006879583,13,1.41,94,12.84579896,0.264883167,0.00582743,
0.847471125,0.006454292,12,1.425,95,12.46376058,0.258428875,0.005685435,
0.85426225,0.006791125,12,1.44,96,12.07222106,0.25163775,0.005536031,
0.859049417,0.004787167,12,1.455,97,11.80256043,0.246850583,0.005430713,
0.864985542,0.005936125,12,1.47,98,11.47535966,0.240914458,0.005300118,
0.870365125,0.005379583,11,1.485,99,11.18561058,0.235534875,0.005181767,
0.876390958,0.006025833,11,1.5,100,10.86858915,0.229509042,0.005049199,
0.883436333,0.007045375,10,1.515,101,10.50786112,0.222463667,0.004894201,
0.889579667,0.006143334,10,1.53,102,10.2019029,0.216320333,0.004759047,
0.896001292,0.006421625,10,1.545,103,9.890476075,0.209898708,0.004617772,
0.901020042,0.00501875,10,1.56,104,9.652953155,0.204879958,0.004507359,
0.907294125,0.006274083,9,1.575,105,9.363134098,0.198605875,0.004369329,
0.914025333,0.006731208,9,1.59,106,9.060828796,0.191874667,0.004221243,
0.918641,0.004615667,9,1.605,107,8.858602735,0.187259,0.004119698,
0.92466825,0.00602725,8,1.62,108,8.600623853,0.18123175,0.003987099,
0.931378792,0.006710542,8,1.635,109,8.32136452,0.174521208,0.003839467,
0.938108625,0.006729833,8,1.65,110,8.049550357,0.167791375,0.00369141,
0.944581125,0.0064725,7,1.665,111,7.795746788,0.161318875,0.003549015,
0.949608208,0.005027083,7,1.68,112,7.603666749,0.156291792,0.003438419,
0.956009875,0.006401667,7,1.695,113,7.36531631,0.149890125,0.003297583,
0.961285208,0.005275333,7,1.71,114,7.174060832,0.144614792,0.003181525,
0.967200125,0.005914917,7,1.725,115,6.965042874,0.138699875,0.003051397,
0.974394125,0.007194,6,1.74,116,6.718381751,0.131505875,0.002893129,
0.980661792,0.006267667,6,1.755,117,6.510079958,0.125238208,0.002755241,
0.98654425,0.005882458,6,1.77,118,6.320033579,0.11935575,0.002625827,
0.992064083,0.005519833,6,1.785,119,6.14639652,0.113835917,0.00250439,
0.998039792,0.005975709,5,1.8,120,5.963427172,0.107860208,0.002372925,
1.004918042,0.00687825,5,1.815,121,5.759114318,0.100981958,0.002221603,
1.009942333,0.005024291,5,1.83,122,5.614026736,0.095957667,0.002111069,
1.015920167,0.005977834,5,1.845,123,5.44586395,0.089979833,0.001979556,
1.02100325,0.005083083,5,1.86,124,5.306601832,0.08489675,0.001867729,
1.026880458,0.005877208,5,1.875,125,5.149758386,0.079019542,0.00173843,
1.034262917,0.007382459,5,1.89,126,4.958930342,0.071637083,0.001576016,
1.040057458,0.005794541,4,1.905,127,4.81384578,0.065842542,0.001448536,
1.04651225,0.006454792,4,1.92,128,4.656960875,0.05938775,0.001306531,
1.051600458,0.005088208,4,1.935,129,4.536719484,0.054299542,0.00119459,
1.058219625,0.006619167,3,1.95,130,4.384706176,0.047680375,0.001048968,
1.065272083,0.007052458,3,1.965,131,4.228077857,0.040627917,0.000893814,
1.070349583,0.0050775,3,1.98,132,4.118627586,0.035550417,0.000782109,
1.076249708,0.005900125,3,1.995,133,3.994840716,0.029650292,0.000652306,
1.083289792,0.007040084,3,2.01,134,3.851787502,0.022610208,0.000497425,
1.088290917,0.005001125,3,2.025,135,3.7531583,0.017609083,0.0003874,
1.094682083,0.006391166,3,2.04,136,3.63063506,0.011217917,0.000246794,
1.099927792,0.005245709,3,2.055,137,3.532948471,0.005972208,0.000131389,
1.105977208,0.006049416,3,2.07,138,3.423430403,7.7208E-05,1.69858E-06,
1.11098675,0.005009542,3,2.085,139,3.335217566,0.00508675,0.000111908,
1.116916792,0.005930042,3,2.1,140,3.233624177,0.011016792,0.000242369,
1.122114292,0.0051975,3,2.115,141,3.147040274,0.016214292,0.000356714,
1.1280135,0.005899208,3,2.13,142,3.051478068,0.0221135,0.000486497,
1.135046375,0.007032875,2,2.145,143,2.941213341,0.029146375,0.00064122,
1.141187833,0.006141458,3,2.16,144,2.848086362,0.035287833,0.000776332,
1.147412708,0.006224875,3,2.175,145,2.75661197,0.041512708,0.00091328,
1.15704275,0.009630042,2,2.19,146,2.62068748,0.05114275,0.00112514,
